,post_catagory_id,post_id,created_at,duration,view_count,like_count,comment_count,current_listned_seconds_sum,avg_view_duration,Rating
0,8,12783,09/08/2023 11:55,15,6,0,0,1,0.0111,1
1,14,12745,08/08/2023 14:00,11,4,0,0,0,0,1
2,5,12463,03/08/2023 11:58,30,1,0,0,0,0,1
3,5,12462,03/08/2023 11:58,30,1,0,0,0,0,1
4,5,12387,03/08/2023 4:42,15,4,0,0,0,0,1
5,6,12380,02/08/2023 16:20,17,4,0,0,0,0,1
6,14,12379,02/08/2023 16:17,10,11,0,0,0,0,1
7,14,12377,02/08/2023 15:56,10,59,0,0,0,0,1
8,14,12376,02/08/2023 15:53,30,61,0,0,0,0,1
9,7,12373,02/08/2023 15:47,20,9,0,0,0,0,1
10,7,12372,02/08/2023 15:27,16,5,0,0,0,0,1
11,7,12354,02/08/2023 13:38,20,4,0,0,0,0,1
12,16,12347,02/08/2023 13:15,10,17,2,5,2,0.0118,1
13,2,12346,02/08/2023 13:13,19,10,1,1,2,0.0105,1
14,8,12339,02/08/2023 12:37,16,1,0,0,0,0,1
15,7,12338,02/08/2023 12:29,15,9,0,0,0,0,1
16,2,12334,02/08/2023 12:13,19,4,1,0,2,0.0263,1
17,7,12333,02/08/2023 11:30,15,34,1,0,0,0,1
18,16,12332,02/08/2023 11:23,17,80,2,1,5,0.0037,1
19,14,12331,02/08/2023 11:22,13,63,1,0,4,0.0049,1
20,14,12327,02/08/2023 11:05,11,7,1,0,0,0,1
21,7,12302,02/08/2023 9:50,34,81,0,0,1,0.0004,1
22,4,12299,02/08/2023 9:33,14,6,1,5,1,0.0119,1
23,14,12260,02/08/2023 6:52,13,72,2,0,2,0.0021,1
24,5,12258,02/08/2023 6:49,30,59,1,1,2,0.0011,1
25,8,12202,01/08/2023 11:26,61,73,1,0,1,0.0002,1
26,8,12201,01/08/2023 11:22,61,29,1,0,1,0.0006,1
27,8,12200,01/08/2023 11:19,61,24,1,0,0,0,1
28,8,12199,01/08/2023 11:15,61,71,2,0,0,0,1
29,8,12196,01/08/2023 11:12,61,20,1,0,0,0,1
30,8,12193,01/08/2023 11:08,61,21,1,0,0,0,1
31,8,12192,01/08/2023 11:05,61,19,1,0,0,0,1
32,8,12189,01/08/2023 11:01,61,14,1,0,0,0,1
33,8,12188,01/08/2023 10:58,61,12,0,0,0,0,1
34,14,12187,01/08/2023 10:56,14,12,1,1,0,0,1
35,8,12185,01/08/2023 10:54,61,17,1,0,0,0,1
36,8,12183,01/08/2023 10:51,61,13,0,0,0,0,1
37,8,12181,01/08/2023 10:47,61,12,0,0,0,0,1
38,8,12180,01/08/2023 10:44,61,16,1,0,0,0,1
39,8,12178,01/08/2023 10:40,61,10,0,0,0,0,1
40,8,12177,01/08/2023 10:36,61,14,0,0,0,0,1
41,8,12174,01/08/2023 10:32,61,11,0,0,0,0,1
42,8,12173,01/08/2023 10:28,61,7,0,0,0,0,1
43,8,12172,01/08/2023 10:25,61,14,0,0,0,0,1
44,8,12171,01/08/2023 10:22,61,9,0,0,0,0,1
45,8,12170,01/08/2023 10:18,61,9,0,0,0,0,1
46,7,12168,01/08/2023 9:48,14,15,1,0,0,0,1
47,14,12166,01/08/2023 8:20,11,7,1,1,0,0,1
48,8,12164,01/08/2023 7:39,10,46,1,8,1,0.0022,1
49,2,12163,01/08/2023 7:37,18,150,3,13,2,0.0007,2
50,16,12162,01/08/2023 7:33,15,116,3,3,1,0.0006,2
51,14,12161,01/08/2023 6:32,15,76,0,1,0,0,1
52,5,12157,01/08/2023 4:57,30,1,0,0,1,0.0333,1
53,5,12156,02/08/2023 4:57,30,1,0,0,1,0.0333,1
54,5,12155,15/07/2023 4:56,30,1,0,0,0,0,1
55,7,12140,31/07/2023 12:52,18,11,0,0,0,0,1
56,7,12136,31/07/2023 12:37,13,27,0,0,0,0,1
57,15,12128,31/07/2023 11:21,10,53,0,0,0,0,1
58,7,12126,31/07/2023 10:49,17,15,0,0,0,0,1
59,14,12108,31/07/2023 7:13,11,56,0,4,2,0.0032,1
60,7,12106,31/07/2023 7:09,13,11,0,0,1,0.007,1
61,14,12099,31/07/2023 6:17,14,72,0,0,0,0,1
62,14,12089,29/07/2023 10:26,12,73,0,0,1,0.0011,1
63,12,12088,29/07/2023 10:23,23,1,0,0,0,0,1
64,14,12074,28/07/2023 14:22,21,1,0,0,2,0.0952,1
65,14,12073,28/07/2023 11:03,11,2,0,0,2,0.0909,1
66,12,12062,28/07/2023 6:54,13,95,0,2,8,0.0065,1
67,14,12059,28/07/2023 6:49,10,1,0,0,0,0,1
68,18,12057,28/07/2023 6:45,14,102,0,3,2,0.0014,2
69,2,12047,28/07/2023 5:58,30,89,1,2,4,0.0015,1
70,7,12041,27/07/2023 12:45,30,8,1,2,1,0.0042,1
71,14,12040,27/07/2023 11:28,16,48,1,2,0,0,1
72,14,12039,27/07/2023 11:22,14,56,1,0,0,0,1
73,14,12038,27/07/2023 8:41,12,16,2,1,3,0.0156,1
74,14,12037,27/07/2023 8:05,13,156,0,0,6,0.003,2
75,7,12033,26/07/2023 13:02,20,20,1,0,4,0.01,1
76,8,12032,26/07/2023 12:59,13,13,0,2,4,0.0237,1
77,11,12030,26/07/2023 4:35,34,1,1,1,0,0,1
78,7,12018,25/07/2023 12:12,14,70,0,11,5,0.0051,1
79,14,12014,25/07/2023 9:55,12,52,0,0,3,0.0048,1
80,7,12011,25/07/2023 5:51,14,2,1,0,1,0.0357,1
81,14,12010,25/07/2023 5:44,11,4,1,0,3,0.0682,1
82,14,12009,25/07/2023 5:00,12,93,1,0,5,0.0045,1
83,14,12008,24/07/2023 12:45,13,218,0,2,6,0.0021,2
84,12,12007,24/07/2023 12:35,14,2,0,0,2,0.0714,1
85,14,12005,24/07/2023 12:17,11,1,0,0,1,0.0909,1
86,5,11989,24/07/2023 10:41,30,25,1,1,4,0.0053,1
87,5,11988,24/07/2023 10:39,30,11,0,2,2,0.0061,1
88,5,11987,24/07/2023 10:36,30,77,0,1,7,0.003,1
89,5,11986,24/07/2023 10:34,30,63,3,3,6,0.0032,1
90,5,11985,24/07/2023 10:22,30,50,1,0,7,0.0047,1
91,5,11984,24/07/2023 10:20,30,46,1,0,4,0.0029,1
92,5,11983,24/07/2023 9:57,30,69,1,2,7,0.0034,1
93,5,11982,24/07/2023 9:56,30,64,0,4,5,0.0026,1
94,14,11981,24/07/2023 9:29,11,185,2,1,8,0.0039,2
95,14,11980,24/07/2023 9:26,11,278,3,1,8,0.0026,2
96,12,11979,24/07/2023 7:39,12,202,1,2,9,0.0037,2
97,1,11971,20/07/2023 13:57,10,10,0,12,1,0.01,1
98,7,11969,20/07/2023 13:22,16,206,3,3,12,0.0036,2
99,14,11968,20/07/2023 13:20,12,43,2,0,5,0.0097,1
100,5,11966,20/07/2023 10:05,30,35,1,2,6,0.0057,1
101,5,11965,20/07/2023 9:57,30,28,2,2,5,0.006,1
102,14,11964,19/07/2023 17:30,15,5,0,0,2,0.0267,1
103,4,11963,19/07/2023 17:15,17,5,0,0,2,0.0235,1
104,8,11962,19/07/2023 17:10,13,53,0,0,3,0.0044,1
105,7,11960,19/07/2023 13:59,13,48,0,0,0,0,1
106,7,11959,19/07/2023 13:57,11,24,0,0,0,0,1
107,2,11949,17/07/2023 12:49,19,4,2,6,0,0,1
108,3,11947,17/07/2023 9:53,10,311,3,9,8,0.0026,3
109,7,11946,17/07/2023 9:23,15,339,1,2,9,0.0018,3
110,16,11945,17/07/2023 6:52,16,3,0,0,0,0,1
111,11,11939,14/07/2023 9:51,20,149,2,0,9,0.003,2
112,4,11938,14/07/2023 9:50,12,140,2,0,8,0.0048,2
113,3,11937,14/07/2023 9:48,10,144,4,1,10,0.0069,2
114,5,11936,14/07/2023 9:46,10,151,2,0,7,0.0046,2
115,8,11934,14/07/2023 9:33,61,155,1,0,9,0.001,2
116,8,11933,14/07/2023 9:29,61,125,4,2,8,0.001,2
117,8,11932,14/07/2023 9:24,61,138,4,0,13,0.0015,2
118,8,11931,14/07/2023 9:19,61,122,6,1,5,0.0007,2
119,8,11930,14/07/2023 9:14,61,142,2,0,11,0.0013,2
120,8,11929,14/07/2023 9:10,61,133,2,0,6,0.0007,2
121,8,11928,14/07/2023 9:06,61,149,2,0,8,0.0009,2
122,8,11927,14/07/2023 9:01,61,138,0,3,4,0.0005,2
123,8,11926,14/07/2023 8:57,61,139,0,0,5,0.0006,2
124,8,11925,14/07/2023 8:53,61,132,1,4,11,0.0014,2
125,8,11924,14/07/2023 8:49,40,155,0,0,3,0.0005,2
126,8,11923,14/07/2023 8:45,61,132,3,1,6,0.0007,2
